galaxy,role,projection_label,readout_lane,population_use,fresh_population_case,endpoint_score_available,formula_freeze_status,primary_blocker,next_action,formula_family,orientation_gate_status,memory_status,inclination_deg,manifest_confidence,manifest_caveat,uses_vobs_or_residual_for_label,endpoint_scores_run_by_this_script,claim_boundary
NGC4013,scored_seed_retrospective,warp_vertical_overlay,expdisk_warp_vertical_overlay,reference_only_not_fresh,False,True,endpoint_scored_retrospective,retrospective_reference_case,prospective replay only; do not count as fresh catalogue case,,,,,,,False,False,projection_enriched_population_expansion_ledger_not_endpoint
NGC5907,scored_seed_wrong_label_caveated,edge_on_projection_vertical_warp,expdisk_projection_vertical_warp_context,candidate_after_wrong_label_replay,False,True,accepted_single_object_freeze,strict_wrong_label_margin_tight,predeclare wrong enriched label replay before population use,,,,,,,False,False,projection_enriched_population_expansion_ledger_not_endpoint
NGC7331,scored_seed_wrong_label_caveated,vertical_outer_warp_overlay,expdisk_vertical_outer_warp_overlay,candidate_after_wrong_label_replay,False,True,accepted_single_object_freeze,strict_wrong_label_margin_tight_outer_window_broad,freeze narrower source-native outer-warp window and rerun wrong-label replay,,,,,,,False,False,projection_enriched_population_expansion_ledger_not_endpoint
NGC4088,scored_seed_source_review_caveated,warp_history_asymmetric_projection,warp_history_asymmetric_projection,candidate_after_source_review,False,True,accepted_single_object_freeze_caveated,source_review_and_normalization_caveats,"complete source review, epsilon/memory normalization, and wrong-label replay",,,,,,,False,False,projection_enriched_population_expansion_ledger_not_endpoint
NGC4183,weak_projection_null_control,edge_on_outer_warp_caveated,K_expdisk_edge_on_projection_outer_warp_caveated,null_control_candidate,False,True,weak_projection_interval_control_complete,strong_projection_not_supported,retain as weak/null projection control; do not count as positive enriched case,,,,,,,False,False,projection_enriched_population_expansion_ledger_not_endpoint
NGC3198,frozen_protocol_transfer_seed_not_validation,vertical_projection_constant_h_epg,K_thick_flared_constant_h_projection_context,transfer_rule_seed_not_fresh_validation,False,True,source_derived_constant_h_protocol_frozen_not_retroactive,retroactive_diagnostic_history_transfer_required,apply frozen constant-H EPG rule to a future predeclared fresh case,,,,,,,False,False,projection_enriched_population_expansion_ledger_not_endpoint
IC4202,formula_blocked_candidate,edge_on_smooth_disk_projection,K_edge_on_smooth_disk_closure_projection_candidate,candidate_after_formula_values,True,False,formula_shell_derived_freeze_blocked,projection_load_values_and_closure_normalization_unfrozen,resolve source-native H I regularity closure map or scalar-to-kernel theorem,,,,,,,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGC06917,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,memory_or_history_acceptance_blocked,replace inverse memory proxy with residual-blind source/history evidence or mark memory not required,K_scale_tail_spiral,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,56.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGC07577,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,memory_or_history_acceptance_blocked,replace inverse memory proxy with residual-blind source/history evidence or mark memory not required,K_scale_tail_spiral,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,63.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
CamB,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,65.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
IC2574,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,75.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
NGC6789,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,43.0,0.8,few_rotation_points,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGC04305,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,40.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGC06818,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,75.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGC06983,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_CAUTION_CURRENT_READOUT_CONSISTENT_WITH_SOURCE_FLAGS,49.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGC07151,fresh_projection_catalogue_queue,projection_review_for_K_exponential_disk,K_exponential_disk_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_NOT_REQUIRED_CURRENT_READOUT_CONSISTENT,90.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGC12506,fresh_projection_catalogue_queue,projection_review_for_K_exponential_disk,K_exponential_disk_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_exponential_disk,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,86.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
UGCA444,fresh_projection_catalogue_queue,projection_review_for_K_scale_tail_spiral,K_scale_tail_spiral_projection_enriched_candidate,fresh_candidate_after_gate_resolution,True,False,not_built,orientation_gate_blocked,resolve source-native orientation promotion before projection catalogue use,K_scale_tail_spiral,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_BLOCKED_INVERSE_DIAGNOSTIC_NOT_ACCEPTED,78.0,1.0,none,False,False,projection_enriched_population_expansion_ledger_not_endpoint
