predeclared_rank,galaxy,transfer_priority_score,inclination_deg,rhi_over_rdisk,mhi_1e9_msun,vflat_km_s,quality_q,gas_to_l36,candidate_reason,missing_source_native_fields,beta_cl_replay_status,endpoint_scores_allowed,uses_vobs_or_residual_for_selection,claim_boundary
1,UGC11455,0.9016310763031435,90.0,7.325463743676223,13.335,269.4,1,0.03562440893134788,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
2,ESO563-G021,0.8452326608304704,83.0,10.222018348623854,24.298,314.6,1,0.07808417717247738,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
3,IC4202,0.8161776432040719,90.0,6.7217573221757325,12.326,242.6,1,0.06857339957385021,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
4,NGC0891,0.7596656846869413,90.0,7.121568627450981,4.462,216.1,1,0.032253867283504406,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
5,NGC4013,0.7091811577613378,89.0,8.881019830028329,2.967,172.9,2,0.03751232710445799,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
6,NGC2841,0.669506742261588,76.0,12.395604395604394,9.775,284.8,1,0.051961237714024486,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
7,NGC4157,0.6241768735316376,82.0,10.383620689655173,8.226,184.7,1,0.07788297670895664,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
8,NGC4217,0.513690530091596,86.0,5.680272108843537,2.562,181.3,1,0.030035522104596767,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
9,NGC0801,0.5060064205084938,80.0,5.159403669724771,23.201,220.1,1,0.07422657324759255,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
10,NGC3521,0.49902352659681704,75.0,7.854166666666668,4.154,213.7,1,0.048965062001980295,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
11,NGC7331,0.42219356649346906,75.0,5.380478087649403,11.067,239.0,1,0.04415654887065048,high-inclination/extended-HI/massive-gas source proxy for beta_cl transfer,lambda_spin;chi2_NFW;chi2_ISO;source-native halo fit reference;PV/envelope method notes,SOURCE_ACQUISITION_REQUIRED_BEFORE_REPLAY,False,False,ugc12506_beta_closure_transfer_predeclaration_not_endpoint
