galaxy,formula_id,carrier_id,carrier_expression,selected_spin_normalization_route,lambda_spin_value,nfw_preference_load,edgeon_load,beta_cl_formula,beta_cl_value,source_value_artifacts,formula_freeze_status,construction_used_vobs,scoring_used_vobs,endpoint_scores_allowed,endpoint_validation_claim,claim_boundary
ESO563-G021,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.007163174850163,0.0,0.5333333333333333,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.5333333333333332,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
IC4202,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0678522425383182,0.0,1.0,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,2.0,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC0801,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0291446646860498,0.0443131462333827,0.3333333333333333,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.3462482512148914,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC0891,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0352494086104112,0.2254335260115607,1.0,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,2.0794639847286724,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC2841,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0202436093494148,0.0675675675675675,0.0666666666666666,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.0803447810919469,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC3521,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0026775580498303,0.0,0.0,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.0,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC4013,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0063132547644536,0.0370370370370369,0.9333333333333332,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.9356715758386862,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC4157,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0056393434209778,0.0,0.4666666666666667,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.4666666666666668,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC4217,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0231037395500277,0.0,0.7333333333333333,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.7333333333333334,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
NGC7331,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0325438896465119,0.1728395061728393,0.0,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,1.056248698154465,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
UGC11455,BETA_CL_TRANSFER_SOURCE_FROZEN,BARYONIC_050_FAST_PACKET,v_carrier^2 = v_baryon_050^2 from fast SPARC packet,BULLOCK_DISK_CONVERSION,0.0066023362561842,0.0,1.0,1 + (lambda_spin/lambda_ref)*nfw_preference_load + edgeon_load; lambda_ref=0.10,2.0,data/derived/ugc12506_beta_closure_bullock_spin_conversion_proxy_values.csv,SOURCE_FROZEN_FORMULA_READY_FOR_SEPARATE_SCORING,False,False,False,False,ugc12506_beta_closure_transfer_formula_freeze_gate_not_endpoint
