packet_file,file_role,fillable,active_response_file,endpoint_scores_allowed,claim_boundary
README.md,human_readme,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
MESSAGE_TO_REVIEWER.txt,copyable_reviewer_message,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
response/ugc12506_beta_closure_spin_proxy_review_response.csv,fillable_active_spin_response,True,True,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
response/ugc12506_beta_closure_carrier_review_response.csv,fillable_active_carrier_response,True,True,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_transfer_scoring_unlock_requirements.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_transfer_scoring_contract_dry_run_summary.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_transfer_scoring_contract_dry_run_scenarios.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_scoring_readiness_summary.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_scoring_readiness_dashboard.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_spin_proxy_review_packet.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_spin_proxy_review_obligations.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_spin_proxy_review_forbidden_inputs.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_spin_proxy_review_bundle_manifest.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_carrier_review_obligations.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_carrier_review_forbidden_inputs.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_carrier_review_bundle_manifest.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_spin_proxy_review_response_example_only_exposure_proxy.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_spin_proxy_review_response_example_only_bullock_conversion.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
supporting_ledgers/ugc12506_beta_closure_carrier_review_response_example_only_baryonic_stress.csv,supporting_ledger,False,False,False,ugc12506_beta_closure_no_repo_reviewer_packet_not_endpoint
